Scan Number,Scan Name,Locate,Row Number,Tree Number,UCACCSD,Number of nuts scanned,Number of nuts preserved
1,2008SB_R4_T13,2008SB,4,13,06-005-27,9,9
2,2008SB_R5_T2,2008SB,5,2,06-004-4,7,7
3,2008SB_R8_T10,2008SB,8,10,06-030-18,5,5
4,2010SB_R10_T26,2010SB,10,26,08-019-11,9,9
5,2010SB_R1_T27,2010SB,1,27,08-001-28,6,6
6,2010SB_R2_T24,2010SB,2,24,08-002-4,7,7
7,2010SB_R4_T39,2010SB,4,39,08-006-11,8,8
8,2011SBa_R22_T20,2011SBa,22,20,09-003-20,7,7
9,2011SBb_R3_T20,2011SBb,3,20,09-025-24,8,8
10,2011SBb_R3_T56,2011SBb,3,56,09-025-60,8,8
11,2011SBb_R3_T58,2011SBb,3,58,09-025-62,8,8
12,2011SBb_R3_T60,2011SBb,3,60,09-025-64,8,8
13,2011SBb_R3_T65,2011SBb,3,65,09-025-69,7,7
14,2011SBb_R3_T68,2011SBb,3,68,09-025-72,9,9
15,2011SBb_R3_T9,2011SBb,3,9,09-025-13,9,9
16,2011SBb_R4_T20,2011SBb,4,20,09-025-123,8,6
17,2011SBb_R4_T26,2011SBb,4,26,09-025-117,9,8
18,2011SBb_R4_T36,2011SBb,4,36,09-025-107,9,8
19,2011SBb_R4_T44,2011SBb,4,44,09-025-99,9,9
20,2011SBb_R4_T65,2011SBb,4,65,09-025-78,9,9
21,2012SB_R11_T22,2012SB,11,22,10-008-16,9,9
22,2012SB_R11_T29,2012SB,11,29,10-008-23,9,9
23,2012SB_R11_T43,2012SB,11,43,10-008-37,7,7
24,2012SB_R11_T69,2012SB,11,69,10-008-63,9,9
25,2012SB_R12_T57,2012SB,12,57,10-008-76,6,6
26,2012SB_R12_T60,2012SB,12,60,10-008-73,6,6
27,2012SB_R12_T62,2012SB,12,62,10-008-71,5,5
28,2012SB_R14_T34,2012SB,14,34,10-018-1,8,8
29,2012SB_R14_T63,2012SB,14,63,10-016-34,9,9
30,2012SB_R15_T56,2012SB,15,56,10-019-84,7,7
31,2012SB_R15_T66,2012SB,15,66,10-020-3,9,9
32,2012SB_R16_T16,2012SB,16,16,10-020-59,9,9
33,2012SB_R16_T58,2012SB,16,58,10-020-17,4,3
34,2012SB_R16_T64,2012SB,16,64,10-020-12,9,9
35,2012SB_R16_T66,2012SB,16,66,10-020-10,9,9
36,2012SB_R16_T67,2012SB,16,67,10-020-9,7,7
