UCACCSD	YR	LOCATE	ROW	TREE	ShellIntegrity	ShellTexture	ShellColor	SEAL	ShellStrength	ShellThickness	PackingTissue	KernelFill	%TipShrivel	%MinorShrivel	%MajorShrivel	Plumpness	EaseOfRemoval	PercentKernel	%Blank
1	2017	New Stuke	3	17	7	5	6	5	6	1.5	5	5	0	33.33333333	16.66666667	4	5	42.73381295	40
1	2017	GB	3	2	7	5	5	5	5	1.4	5	5	11.11111111	0	0	5	5	50.42524653	10
1	2018	New Stuke	3	17	7	6	6	5	5	1.2	5	5	0	0	0	5	5	55.59689713	30
1	2018	GB	3	2	7	5	5	5	5	1.2	5	5	0	0	0	5	5	54.41495125	10
1	2019	New Stuke	3	17	7	6	5	5	5	1.2	5	5	0	0	0	5	4	51.42053862	30
1	2019	GB	3	2	7	6	5	5	5	1.2	5	5	0	0	0	5	5	55.6284585	0
1	2019	GB	3	2	7	6	5	5	5	1.2	5	5	0	0	0	5	5	54.01290866	0
1	2019	GB	3	2	7	6	5	5	5	1.2	5	5	0	0	0	5	4	54.3754126	0
1	2020	New Stuke	3	17	7	6	5	5	5	1.2	5	5	0	0	0	5	5	54.21506804	0
1	2020	GB	3	2	7	5	5	5	5	1.2	5	4	0	0	0	5	5	55.5089192	0
1	2021	New Stuke	3	17	7	5	5	5	5	1.2	5	6	0	0	0	5	5	51.78022414	0
1	2021	GB	3	2	7	5	5	5	5	1.2	5	6	0	0	0	5	5	50.79856259	0
2	2017	New Stuke	7	7	7	5	4	5	6	1.5	5	4	0	0	22.22222222	4	5	44.03865378	10
2	2017	GB	11	5	7	5	4	5	6	1.4	5	4	10	10	0	4	5	46.48876404	0
2	2018	New Stuke	7	7	7	5	4	5	6	1.4	5	4	0	0	0	4	6	45.5799373	0
2	2018	GB	11	5	7	6	4	5	6	1.5	5	4	0	0	0	4	5	47.30815589	0
2	2019	New Stuke	7	7	7	5	5	5	5	1.3	5	4	0	0	0	4	4	43.56038073	0
2	2019	GB	11	5	7	5	5	5	6	1.2	5	5	0	0	0	5	5	47.50745056	0
2	2019	GB	11	5	7	5	5	5	6	1.3	5	5	0	0	0	5	5	45.61571634	0
2	2019	GB	11	5	7	5	5	5	6	1.3	5	4	0	0	0	4	4	44.60493386	0
