bname,wname,nut_length,nut_height,nut_width,nut_vol,nut_va3d,nut_ratio_feret,nut_inv_ratio_feret,nut_area,nut_sphericity,nut_cnvx_area,nut_cnvx_vol,nut_ratio_cnvx_area,nut_ratio_cnvx_vol,nut_inv_ratio_cnvx_area,nut_inv_ratio_cnvx_vol,krumbein,corey,sneed,janke,wadell,air_vol,meat_vol,shell_vol,vein_vol,air_ratio_vol,meat_ratio_vol,shell_ratio_vol,vein_ratio_vol,shell_rugosity,shell_thickness1,shell_thickness2,shell_thickness3,shell_thickness4,shell_ext_ratio,shell_thick_ratio,shell_prot_ratio,shell_ext_vol,shell_thick_vol,shell_prot_vol,meat_length,meat_height,meat_width,meat_area,meat_cnvx_vol,meat_cnvx_area,meat_ratio_cnvx_area,meat_inv_ratio_cnvx_area,meat_ratio_cnvx_vol,meat_inv_ratio_cnvx_vol,ShellIntegrity,ShellTexture,ShellColor,SEAL,ShellStrength,ShellThickness,PackingTissue,KernelFill,%TipShrivel,%MinorShrivel,%MajorShrivel,Plumpness,EaseOfRemoval,PercentKernel,%Blank
2008SB_R4_T13,001,41.750477013628135,33.58291314291927,31.39505092741385,20387.149371389198,4.941864849904139,1.329842627430555,0.7519686761223334,6147.314264519999,0.5870877860577011,3871.443630691788,21573.260882692008,0.6297780565793283,1.0581793702344369,1.5878609766614469,0.9450193682933477,0.8457049868507092,0.8384386458262719,0.8891619274027964,0.8756318897650429,0.9886542220627664,7506.366287202682,5976.046025550314,4384.3207578091005,2520.4163008270953,0.36819106734642,0.2931280836121672,0.2150531532359274,0.12362769580548533,1.7033227802523498,1.154444966157708,1.1070426066918884,1.1435965952328793,1.073388093841179,0.9269357816756884,0.049542551423945695,0.02352166690036579,4063.983788756727,217.21043660283001,103.12653244954498,31.76284377692372,28.37196254240336,20.810689547828847,6130.273788539998,10658.298929696613,2473.4362021732873,0.4034789126053645,2.4784442724472253,1.7835034877789655,0.5606941656420986,7.0,4.0,3.0,6.0,6.0,1.5,6.0,5.0,0.0,0.0,0.0,4.0,6.0,48.38931245,0.0
2008SB_R4_T13,002,39.720442695308435,33.450553678547266,31.454859966584703,20512.900733904116,4.6432220034082405,1.2627760141836415,0.7919060773786387,6045.6359680199985,0.599413956143829,3814.5427224458895,21363.09519949834,0.6309580567907048,1.041446818108421,1.5848914032200243,0.9602026552025948,0.8736838384500021,0.8629369406139028,0.9063989083093892,0.8973608232972391,0.9924394056231474,6806.337149814641,6431.697352988819,4429.031294264247,2845.8349368364075,0.33180763842750904,0.31354401975720514,0.21591443120201229,0.1387339106132736,1.6682961578559754,1.1537964870874513,1.118604237226555,1.1422665306038438,1.0946453672308671,0.9251162433918796,0.04854752895854668,0.026336227649573867,4097.368792814814,215.01852501660298,116.64397643283002,32.788898786123745,27.734060226521287,23.007245864421336,6179.125457339999,11415.246424439194,2572.442635930638,0.4163117667201449,2.4020459663640135,1.7748419737341206,0.5634304432726948,7.0,4.0,3.0,6.0,6.0,1.5,6.0,5.0,0.0,0.0,0.0,4.0,6.0,48.38931245,0.0
2008SB_R4_T13,003,42.79098706802165,35.76885165761889,33.25780441703395,24394.576769173706,4.596968046608139,1.286644979068582,0.7772151730028217,6763.478980499999,0.6014176532346646,4285.803143685907,25366.63497485477,0.6336684354372125,1.0398473076568973,1.5781123756149058,0.961679654922908,0.8660932511661149,0.8500900323450961,0.8973804748580743,0.8871049750537283,0.9913058637615456,8847.672761456495,7236.496628581966,5144.341723897859,3166.0656552373853,0.3626901522078009,0.29664366375588824,0.21088054826999605,0.1297856357663149,1.6627380234377895,1.2202357684551766,1.1909631287516846,1.1793967160780097,1.156074357470141,0.9376258569663096,0.03780740718075296,0.024566735852937525,4823.467817397273,194.494222232343,126.37968426824398,34.35496185670524,29.135261268113066,23.114041490225876,6770.011739039999,13023.165952986179,2828.536676884197,0.4178038068343571,2.3934678996270162,1.7996506626630109,0.5556633966506935,7.0,4.0,3.0,6.0,6.0,1.5,6.0,5.0,0.0,0.0,0.0,4.0,6.0,48.38931245,0.0
2008SB_R4_T13,004,39.58985801136414,34.400642542335504,31.931822578030115,21020.676969385167,4.496372986146459,1.239824564182658,0.8065657262237259,6079.521052439999,0.6058696856406701,3862.9488686717027,21817.742538442635,0.6354034857929013,1.037918168392879,1.5738031382565196,0.9634670925439216,0.8882614026154431,0.8652636479498166,0.9080274385995296,0.9007214095049121,0.99377582130543,6672.860971422227,6920.8145748990255,4386.180800076767,3040.8206229871466,0.3174427246629917,0.3292384248603699,0.2086603017811875,0.14465854869545086,1.6505199446355552,1.083437003144463,1.0726708853142837,1.0728892433530537,1.0626,0.9059366835629592,0.0593101136911009,0.034753202745939946,3973.602087529073,260.14488192227697,152.43383062541702,32.636523580667294,28.85034895834199,23.12921136990991,6603.916065119999,11822.113690791748,2618.3730044226445,0.3964879290716828,2.5221448792687093,1.7081968549871502,0.5854126221345387,7.0,4.0,3.0,6.0,6.0,1.5,6.0,5.0,0.0,0.0,0.0,4.0,6.0,48.38931245,0.0
2008SB_R4_T13,005,38.28432649479646,34.049829782641794,31.36533686215583,19995.849647322517,4.335537112633308,1.220593506234228,0.8192735705150501,5809.316020199999,0.6132709088205034,3718.8598367983445,20632.40866822423,0.6401545076678951,1.0318345572770875,1.5621228750587646,0.9691476147483412,0.899858644206501,0.8687243163286379,0.9104469638534048,0.904326526672544,0.9947168172389608,7189.773451186985,6089.512101841772,4322.994893151957,2393.5692011418,0.3595632882821616,0.3045388022637573,0.21619460885128305,0.11970330060279802,1.6306007436799637,1.1292473278516333,1.1004443918087352,1.113304677724274,1.073388093841179,0.9241644712494322,0.04925465386816047,0.026580874882407332,3995.158289643774,212.92761713602496,114.908986372158,30.29069282216527,27.54872253563848,23.052004523904056,6213.4253200799985,10610.224955268499,2446.843282524647,0.393799419237752,2.5393638262230684,1.7423768567697628,0.5739286516086569,7.0,4.0,3.0,6.0,6.0,1.5,6.0,5.0,0.0,0.0,0.0,4.0,6.0,48.38931245,0.0
2008SB_R4_T13,006,39.21459643477288,33.34494281010623,32.03725801490525,20308.955013397706,4.510321475695513,1.224030983442103,0.8169727837998803,5947.644589919999,0.6052444756816225,3775.4642929403135,21109.283526842257,0.6347831037750522,1.0394076658753038,1.5753412371139128,0.9620864198243932,0.8856523349540959,0.8859648164014029,0.922453147308898,0.9152187849191004,0.9940723893145036,7218.521904185755,6294.171406969907,4315.466400494534,2480.7953017475093,0.3554354175004936,0.309920988195487,0.21249081489656385,0.1221527794074556,1.6522249110556626,1.1187653657108414,1.105800540224351,1.111252496115427,1.0946453672308671,0.9227844106157606,0.05433639338315941,0.02287919600108008,3982.2451189124654,234.486879969078,98.73440161298998,32.28500252662795,27.71000330140962,23.616112924262968,5928.0232710599985,10892.926456961412,2487.819028140527,0.41967092812975343,2.3828193305084526,1.7306370851132258,0.5778218949552762,7.0,4.0,3.0,6.0,6.0,1.5,6.0,5.0,0.0,0.0,0.0,4.0,6.0,48.38931245,0.0
2008SB_R4_T13,007,40.7724404916863,31.25046934894087,29.54965241854203,17937.57077336941,4.742785284492547,1.379794249833616,0.7247457366347092,5567.638519079998,0.5951898440893336,3492.8659103010777,18566.474281802177,0.6273514162838003,1.035060684435958,1.594002936860545,0.9661269286302148,0.8220378891155075,0.8278292184063376,0.8816451726021024,0.8636255967415295,0.9850821853307964,5726.606224690394,5952.77757013985,3802.468142257785,2455.718836281381,0.31925204906743915,0.3318608548141592,0.2119834502843065,0.1369036458340951,1.6801361950825011,1.056819105057603,1.0377176457106712,1.0423770486392026,1.0183053569534042,0.9053190308880154,0.05294538036650735,0.0417355887454773,3442.4467735313697,201.32312212336498,158.69824660304997,32.0959170198556,26.075621430536795,21.35073142809886,6088.669218719999,10113.49784016755,2382.278725879003,0.3912642714362831,2.5558173158237087,1.6989544327842157,0.5885973047324278,7.0,4.0,3.0,6.0,6.0,1.5,6.0,5.0,0.0,0.0,0.0,4.0,6.0,48.38931245,0.0
2008SB_R4_T13,008,39.648170067274854,32.60824902339104,29.941247796247158,18868.13890129664,4.6276218207919175,1.3241989892032606,0.7551735110458561,5711.57811774,0.6000867624281395,3606.908164141389,19573.01767404093,0.6315081558524841,1.0373581505007816,1.583510823625203,0.9639872203416466,0.8531990432783303,0.8327115380093357,0.8851082487671094,0.8726404169935142,0.9893221486751068,6009.898882270932,6309.710674048089,4007.1248239130455,2541.404521064573,0.3185210217981766,0.3344108662256285,0.21237520270945595,0.13469290926673885,1.6664256947673466,1.1213955129197393,1.0937011120006486,1.073074299326702,1.0626,0.922932074443116,0.042646310088282215,0.03442161546860191,3698.304026286573,170.88908780304897,137.93170982342394,32.797771943817956,27.5482614894199,21.713872266986947,6333.780162599999,10664.948486066989,2468.292154566629,0.3897028458836504,2.5660577297876848,1.690243663617104,0.5916306752246657,7.0,4.0,3.0,6.0,6.0,1.5,6.0,5.0,0.0,0.0,0.0,4.0,6.0,48.38931245,0.0
2008SB_R4_T13,009,37.9670685892139,32.41496644729639,29.701554044431706,17395.81444273335,4.540606988471342,1.2782855918049774,0.7822977951178892,5376.32201898,0.6038958274654339,3427.746026483172,18128.49328303227,0.6375633777854488,1.0421181108082571,1.5684715196055652,0.9595841293118008,0.8741182854993594,0.8466479310545698,0.8949564470796814,0.8856065771415773,0.9919340708745722,4859.927968909166,6065.437365768033,3929.6724714994234,2540.5313418430105,0.2793734081786136,0.3486722272035795,0.22589758498722895,0.1460426788413032,1.6559147364819942,1.102911961944029,1.087091970097476,1.1027410588656386,1.073388093841179,0.899766415791463,0.061669213027173674,0.038564371181363286,3535.787314915416,242.339808771918,151.54534781208898,31.644365314532298,26.867108468312274,21.39040140712644,5910.498887039998,10036.029163922682,2365.828150021533,0.400275542764944,2.498279043212079,1.6546258016880662,0.6043662554879718,7.0,4.0,3.0,6.0,6.0,1.5,6.0,5.0,0.0,0.0,0.0,4.0,6.0,48.38931245,0.0
2008SB_R5_T2,001,36.79518055262484,36.48497261559451,33.048314813627876,21717.61784195503,4.235354211782677,1.113375394785694,0.8981696601912807,6090.5357211599985,0.6180687049879229,3997.682876182298,22858.99564279225,0.6563762301390628,1.052555386559582,1.5235164743673542,0.9500687686076394,0.9621153766574247,0.9019798539798628,0.9335363325256228,0.9313721582004908,0.998071315292304,8589.471435688372,7677.195909620588,2618.964873111509,2831.985623534561,0.3955070716409265,0.353500828934813,0.12059171922862,0.1304003801956405,1.6179431055638709,0.7178470852259771,0.6887180888958268,0.6824898497285733,0.6440328563047074,0.9665742300519726,0.029113192836357136,0.0043125771116702205,2531.4239557609194,76.246429382541,11.294487968048998,30.247090136971146,30.794638425949387,24.349555699426713,7043.062611419999,13643.718437141311,2908.482925015691,0.4129571303682181,2.421558865222494,1.7771747129761073,0.5626908782228685,7.0,4.0,5.0,5.0,4.0,1.1,5.0,6.0,0.0,0.0,0.0,4.0,5.0,61.79304897,0.0
