UCACCSD,PackingTissue,ShellIntegrity,ShellTexture,EaseOfRemoval,ShellThickness,Seal,Plumpness,KernelFill,PercentKernel,count
1,5,7,5.5,4.83,1.24,5,4.92,5.08,52.58,12
2,5.08,7,5.25,5,1.32,5,4.5,4.5,46.2,12
3,5.71,7,6,5.29,1.37,5,4.71,4.71,47.09,7
6,5,7,5,5,1.19,5,3.2,5,51.83,7
03-001-3395,5,7,5.5,4.5,1.07,4.25,4.75,4.75,62.33,4
04-004-626,5,7,6,5,1.1,3,4,6,58.4,1
48,6,6.5,4.5,5,1.32,5,6,6,52,4
54,5.8,7,5.8,6,1.28,5,4.2,4.4,46.15,5
06-004-4,5,7,4.57,4.86,1.11,5,3.86,5,58.93,7
06-005-27,5.75,7,4.25,5.75,1.48,5.25,3.5,5.25,48.26,4
06-013-20,6,7,5.5,6,1.43,4.67,4.75,6.67,50.17,4
06-030-18,5.67,7,5,5.67,1.23,5,5,5.67,46.1,3
08-001-28,4.5,7,4.5,4.75,1,5,5.75,5,60.49,4
08-002-4,4.6,7,5.4,4.4,1.06,5,5.2,5.2,60.71,5
08-006-11,5.6,7,5.6,5.6,1.2,4.8,4.6,5,53.24,5
08-019-11,4.5,7,4.25,4,0.95,5,4.75,3.75,61.72,4
09-003-20,4.67,7,4.33,4.33,1.17,5,4.67,5,53.77,3
09-025-107,5,7,6,5,1.1,5,5,5.5,58.83,2
09-025-117,4.8,7,5.4,5.2,1.1,5,5,5.2,58.9,5
09-025-123,5,7,6,5,1.15,5,5,5,54.98,2
09-025-13,5,7,6,5,1.2,5,3,5,53.93,1
09-025-24,5.5,7,6.5,5,1.25,5,4.5,5.5,53.94,2
09-025-60,5,7,7,5,1.25,5,4.5,5.5,52.14,2
09-025-62,5,7,6,5,1.1,5,5,5.67,56.91,3
09-025-64,5,7,6.5,5,1.2,5,4,4,54.23,2
09-025-69,5,7,6,5,1.1,5,3.5,4.5,55.14,2
09-025-72,5,7,5.5,5,1.15,5,5,5,54.11,2
09-025-78,5,7,4.8,5.2,1.2,5,4.8,5.6,54.68,5
09-025-99,5,7,5,4,1.1,5,5,5.5,59.99,2
10-001-6,5,7,4,4,1.2,4,4,5,58.71,1
10-005-3,5,7,3.67,4,1,5,5.33,5.33,64.05,3
10-008-16,5,7,5,4.5,1.15,5,5,5,55.68,2
10-008-23,5,7,7,5,1.1,5,5,5,56.58,2
10-008-37,5.33,7,6,5.33,1.2,5.33,5,6,51.53,3
10-008-63,5,7,5.4,4.6,1.04,5,3.8,4.6,58.05,5
10-008-71,5.5,7,3.5,5.5,1.15,5,5,5,51.77,2
10-008-73,5,7,5,6,1.2,5,5,6.5,54,2
10-008-76,5,7,5,4.5,1.15,5,5,5.5,57.45,2
10-016-34,6.5,7,4,5,1.35,5,4,5.5,50.92,2
10-018-1,5,6,4,4.75,1.02,4.5,5.75,5.25,65.88,4
10-019-84,5,7,5,5,1.1,4.8,4.8,5.6,62.08,5
10-020-10,5.8,7,5,5.4,1.18,5,5,5.4,56.67,5
10-020-12,5,7,3.8,5,1.06,4.8,4,5,60.3,5
10-020-17,5,7,4.8,5,1.1,5,4.4,5.2,58.33,5
10-020-3,5,7,4.4,5,1.18,5,4.8,5.6,56.15,5
10-020-59,5,7,4.6,5,1.06,5,4.4,5.6,59.99,5
10-020-9,5,7,3.4,4.8,1.14,4.8,4,5.4,60.31,5
10-024-18,5,6.33,4,5.67,1.23,5.33,5,5.67,52.26,3
11-003-4,5,7,3.67,5.33,1.23,5.33,5,6,52.8,3
11-020-2,4.5,5.5,5.5,4,0.85,5,5,5,65.2,2
11-029-9,5,7,4.33,5,1.17,5,5.67,5.33,60.81,3
11-030-3,4.8,5.4,4.8,5,1.2,4.8,4.8,4.8,53.28,5
12-002-10,6,7,4,7,1.4,5,5,7,45.03,1
12-002-11,5.33,7,5,5,1.17,5,4.67,5,55.72,3
12-002-15,5,7,6,5,1.25,5,5,4.5,50.19,2
12-002-17,5,7,5.5,4,1,4.5,4.5,3.5,53.72,2
12-002-18,5,7,4,5,1.2,5,5,6,52.44,1
12-002-20,6,7,4,6,1.2,5,4,5,50.49,1
12-002-21,5,7,6,4,1.2,5,5,5,51.9,1
12-002-23,5.33,7,5.33,5,1.17,5,5,4.67,54.03,3
12-002-25,5,7,5,5,1.2,5,5,5,55.02,3
12-002-26,5,7,6,4,1.2,5,5,5,53.33,1
12-002-27,5,7,5.33,5,1.17,5,5,5.33,55.5,3
12-002-28,5,7,4,4,1.1,5,5,6,58.16,1
12-002-3,5.5,7,6,5,1.2,5,5,3.5,47.12,2
12-002-5,5,7,5,5.5,1.15,5,5,6,56.51,2
12-002-6,5.33,7,4.67,5.67,1.3,5,5,6,53.02,3
12-002-7,4.5,7,6,4.5,1.15,5,5,4.5,56.67,2
12-004-1,7,7,5,7,1.8,5,5,7,42.31,1
12-005-1,5,7,4,5,1.2,5,5,5,57.07,1
12-005-2,5,7,6.25,5.25,1.18,5.25,5.5,6,57.15,4
12-005-4,5,5,4,4,1,5,5,5,60.42,1
12-005-5,5,7,4.33,4,1.1,5,3.67,4.33,63.43,3
12-005-7,5,7,4.67,4.67,1.17,5,4.67,4.67,53.76,3
12-005-8,5,7,5.2,4.8,1.22,5,5,5.8,53.79,5
12-037-27,5.33,7,4,4.33,1,4,4.33,4.67,63.01,3
12-037-29,5,6.5,5.75,4.75,0.95,5,4.25,4.75,63.94,4
12-037-30,5,7,4.5,5.25,1.2,5,5,6,59.31,4
12-040-8,5.33,7,4.33,5.33,1.13,4.67,4,5,58.94,3
12-042-1,5.5,7,4,5,0.95,5,4,5,65.71,2
12-042-2,6,7,4.5,6,1.1,5,4,5.5,56.54,2
12-042-3,5,7,3.5,4.5,1.1,5,4,5,57.36,2
12-042-4,4.75,6.5,4.75,4.75,1.07,5,4.5,4.75,60.2,4
12-042-5,5.2,7,4.2,5.2,1.08,4.4,4,4.8,56.67,5
12-042-7,5,7,5,5,1.2,5,4.5,5,52.94,2
12-042-8,5,7,4,5,1,5,4,5,64.57,1
12-042-9,5,7,5,5.5,1.2,5,3.5,6,49.44,2
12-045-11,5,7,6,4,1.1,5,4,4,55.8,1
