UCACCSD,N
03-001-3395,7
04-004-626,9
06-004-4,16
06-005-27,15
06-030-18,5
08-001-28,14
08-002-4,15
08-006-11,15
08-019-11,9
09-003-20,7
09-025-107,9
09-025-117,9
09-025-123,8
09-025-13,9
09-025-24,8
09-025-60,8
09-025-62,8
09-025-64,8
09-025-69,7
09-025-72,9
09-025-78,9
09-025-99,9
1,15
10-001-6,9
10-005-3,9
10-008-16,9
10-008-23,9
10-008-37,7
10-008-63,9
10-008-71,5
10-008-73,6
10-008-76,6
10-016-34,9
10-018-1,8
10-019-84,7
10-020-10,9
10-020-12,9
10-020-17,4
10-020-3,9
10-020-59,9
10-020-9,7
10-024-18,6
11-003-4,6
11-020-2,9
11-029-9,9
11-030-3,9
12-002-10,8
12-002-11,7
12-002-15,9
12-002-17,6
12-002-18,8
12-002-20,7
12-002-21,6
12-002-23,6
12-002-25,8
12-002-26,9
12-002-27,8
12-002-28,8
12-002-3,8
12-002-5,9
12-002-6,7
12-002-7,9
12-004-1,5
12-005-1,6
12-005-2,9
12-005-4,8
12-005-5,4
12-005-7,5
12-005-8,8
12-037-27,7
12-037-29,8
12-037-30,9
12-040-8,8
12-042-1,8
12-042-2,8
12-042-3,9
12-042-4,7
12-042-5,7
12-042-7,8
12-042-8,9
12-042-9,8
12-045-11,9
12-045-12,4
12-045-13,7
12-045-14,7
12-045-15,5
12-045-3,7
12-045-7,7
12-045-8,9
12-045-9,9
12-048-11,6
12-048-13,7
12-048-14,7
12-048-3,8
12-048-4,7
12-048-5,4
12-048-6,8
12-048-7,8
12-048-8,8
12-048-9,5
12-053-19,9
12-053-20,9
12-053-22,8
12-053-23,8
12-053-24,9
12-053-3,9
12-053-4,9
12-053-5,7
12-054-10,9
12-054-11,8
12-054-12,5
12-054-14,9
12-054-17,8
12-054-2,8
12-054-21,9
12-054-22,6
12-054-23,9
12-054-3,8
12-054-4,5
12-054-8,7
12-054-9,5
12-059-21,7
12-059-22,7
12-059-23,5
12-059-24,6
12-059-25,7
12-059-27,7
12-059-28,5
12-059-29,7
12-059-30,9
12-059-32,8
2,15
3,13
48,16
49-049,15
53-113,8
54,15
59-129,17
6,18
64-172,26
64-182,9
67-011,16
85-023-2,8
85-043-1,14
91-077-40,6
91-084-2,9
91-136,7
95-011-16,14
95-022-26,7
95-026-37,6
